CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;COSTE_VENTA;km_anno;Revisiones;Edad Cliente;EDAD_COCHE;prediccion;probabilidad_compra
CLIN63;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Baleares;SI;NO;SI;;NO DATA;Averia grave;NO;1781;0;0;18;0;1;0.9490788450793628
CLIN64;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Funcionario;Madrid;SI;NO;NO;Medio;NO DATA;No;NO;3239;0;2;28;0;1;0.9651453183455987
CLIN65;A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;M;Empresa;Ciudad Real;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;2473;0;2;32;0;1;0.9651453183455987
CLIN67;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Valencia;SI;NO;NO;Medio;NO DATA;Averia muy grave;SI;2257;0;2;23;0;1;0.9651453183455987
CLIN68;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1781;0;2;24;0;1;0.9651453183455987
CLIN69;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;No;NO;1541;0;2;29;0;1;0.9651453183455987
CLIN70;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Granada;NO;NO;SI;;NO DATA;No;NO;2429;0;1;22;0;1;0.9707381423815846
CLIN71;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Sevilla;SI;NO;NO;Alto;NO DATA;Averia muy grave;SI;5286;0;2;31;0;1;0.9651453183455987
CLIN72;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Medio;NO DATA;Averia leve;NO;1541;0;1;25;0;1;0.9707381423815846
CLIN74;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;Averia grave;NO;1541;0;1;20;0;1;0.9707381423815846
CLIN75;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Gerona;NO;NO;SI;;NO DATA;No;NO;2429;0;1;31;0;1;0.9707381423815846
CLIN76;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia grave;NO;3599;0;2;30;0;1;0.9651453183455987
CLIN77;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Barcelona;NO;NO;NO;Medio;NO DATA;Averia leve;NO;2502;0;1;28;0;1;0.9707381423815846
CLIN79;A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;F;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Alto;NO DATA;Averia grave;NO;2036;0;2;29;0;1;0.9651453183455987
CLIN81;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Medio;NO DATA;No;NO;2036;0;2;31;0;1;0.9651453183455987
CLIN83;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Sevilla;NO;NO;SI;;NO DATA;Averia grave;NO;2429;0;1;23;0;1;0.9707381423815846
CLIN87;A;TIPO1;FUEL 1;Baja;M;Contado;OTROS;F;Empresa;Valencia;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1541;0;1;18;0;1;0.9707381423815846
CLIN90;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;NO;4312;0;1;30;0;1;0.9707381423815846
CLIN91;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Zaragoza;SI;NO;NO;Alto;NO DATA;Averia leve;SI;2257;0;1;24;0;1;0.9707381423815846
CLIN92;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Alicante;SI;NO;NO;;NO DATA;No;NO;2495;0;1;30;0;1;0.9707381423815846
CLIN93;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Zaragoza;SI;NO;NO;Alto;NO DATA;Averia muy grave;SI;2495;0;0;23;0;1;0.9490788450793628
CLIN94;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Pontevedra;SI;NO;NO;;NO DATA;Averia grave;NO;3239;0;1;25;0;1;0.9707381423815846
CLIN96;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Cadiz;SI;NO;NO;Medio-Bajo;NO DATA;Averia leve;NO;3599;0;2;23;0;1;0.9651453183455987
CLIN97;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;2751;0;2;23;0;1;0.9651453183455987
CLIN98;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Baleares;SI;NO;NO;;NO DATA;No;NO;1781;0;1;25;0;1;0.9707381423815846
CLIN99;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Baleares;NO;NO;NO;Alto;NO DATA;No;NO;1781;0;1;28;0;1;0.9707381423815846
CLIN100;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Barcelona;SI;NO;SI;Alto;NO DATA;No;NO;1541;0;1;18;0;1;0.9707381423815846
CLIN101;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Tarragona;NO;NO;SI;Medio-Bajo;NO DATA;Averia muy grave;SI;2429;0;1;25;0;1;0.9707381423815846
CLIN104;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Santa Cruz de Tenerife;SI;NO;NO;;NO DATA;Averia muy grave;SI;2751;0;2;21;0;1;0.9651453183455987
CLIN105;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Valencia;NO;NO;NO;Medio;NO DATA;No;NO;1541;0;1;25;0;1;0.9707381423815846
CLIN106;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Granada;SI;NO;SI;Medio;NO DATA;No;SI;1541;0;2;30;0;1;0.9651453183455987
CLIN107;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Alicante;SI;NO;NO;;NO DATA;Averia leve;NO;3239;0;1;31;0;1;0.9707381423815846
CLIN110;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Gerona;NO;NO;NO;Medio;NO DATA;Averia muy grave;SI;1541;0;2;28;0;1;0.9651453183455987
CLIN112;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Ciudad Real;SI;NO;NO;Medio;NO DATA;Averia muy grave;SI;2257;0;2;20;0;1;0.9651453183455987
CLIN113;A;TIPO1;FUEL 1;Baja;M;Contado;EN PAREJA;F;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia leve;NO;1541;0;2;29;0;1;0.9651453183455987
CLIN114;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;1781;0;1;30;0;1;0.9707381423815846
CLIN115;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;OTROS;M;Empresa;Gerona;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;2495;0;0;21;0;1;0.9490788450793628
CLIN117;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Madrid;SI;NO;NO;Medio;NO DATA;No;NO;2257;0;2;30;0;1;0.9651453183455987
CLIN119;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Pontevedra;SI;NO;SI;;NO DATA;No;NO;4572;0;1;21;0;1;0.9707381423815846
CLIN121;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Santa Cruz de Tenerife;SI;NO;NO;;NO DATA;Averia muy grave;SI;2990;0;2;19;0;1;0.9651453183455987
CLIN123;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Zaragoza;NO;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;1541;0;2;23;0;1;0.9651453183455987
CLIN124;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Madrid;SI;NO;NO;Medio;NO DATA;Averia muy grave;SI;2257;0;1;23;0;1;0.9707381423815846
CLIN125;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;NO;4312;0;1;24;0;1;0.9707381423815846
CLIN126;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Medio;NO DATA;No;NO;5055;0;2;22;0;1;0.9651453183455987
CLIN127;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Sevilla;SI;NO;SI;;NO DATA;No;SI;1781;0;1;30;0;1;0.9707381423815846
CLIN128;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Sevilla;SI;NO;SI;;NO DATA;Averia muy grave;SI;1781;0;1;30;0;1;0.9707381423815846
CLIN130;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Valladolid;NO;NO;NO;Alto;NO DATA;No;SI;1541;0;1;22;0;1;0.9707381423815846
CLIN131;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Valencia;NO;NO;SI;Medio-Bajo;NO DATA;No;NO;2429;0;1;32;0;1;0.9707381423815846
CLIN133;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;1541;0;1;32;0;1;0.9707381423815846
CLIN134;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Cadiz;NO;NO;SI;;NO DATA;No;NO;0;0;0;25;0;1;0.8611723832374552
CLIN135;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Zaragoza;NO;NO;NO;;NO DATA;No;NO;1781;0;1;27;0;1;0.9707381423815846
CLIN136;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Las Palmas;NO;NO;SI;;NO DATA;No;NO;2924;0;1;31;0;1;0.9707381423815846
CLIN138;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Barcelona;NO;NO;NO;;NO DATA;No;NO;1781;0;1;29;0;1;0.9707381423815846
CLIN139;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Albacete;NO;NO;SI;Medio;NO DATA;No;NO;2671;0;1;20;0;1;0.9707381423815846
CLIN140;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Baleares;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;2905;0;1;25;0;1;0.9707381423815846
CLIN141;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Baleares;SI;NO;SI;;NO DATA;Averia muy grave;SI;2429;0;1;22;0;1;0.9707381423815846
CLIN143;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Madrid;NO;NO;SI;Alto;NO DATA;No;NO;2429;0;0;28;0;1;0.9490788450793628
CLIN145;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Castellon;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;2495;0;1;19;0;1;0.9707381423815846
CLIN146;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Barcelona;NO;NO;SI;Alto;NO DATA;Averia muy grave;SI;2429;0;2;23;0;1;0.9651453183455987
CLIN147;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia grave;NO;2905;0;0;29;0;1;0.9490788450793628
CLIN148;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Santa Cruz de Tenerife;NO;NO;SI;Medio;NO DATA;No;NO;2924;0;1;25;0;1;0.9707381423815846
CLIN149;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Zaragoza;NO;NO;NO;Medio;NO DATA;No;NO;2905;0;2;24;0;1;0.9651453183455987
CLIN150;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Baleares;NO;NO;SI;Alto;NO DATA;No;NO;2429;0;2;26;0;1;0.9651453183455987
CLIN151;A;TIPO1;FUEL 1;Baja;M;Financiera Banco;SOLTERO;F;Empresa;Barcelona;SI;NO;NO;Alto;NO DATA;No;NO;3239;0;1;25;0;1;0.9707381423815846
CLIN152;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Baleares;SI;NO;SI;Alto;NO DATA;No;NO;1541;0;1;18;0;1;0.9707381423815846
CLIN154;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Funcionario;Santa Cruz de Tenerife;SI;NO;NO;Medio;NO DATA;No;NO;2751;0;2;18;0;1;0.9651453183455987
CLIN155;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;;NO DATA;No;NO;1781;0;1;29;0;1;0.9707381423815846
CLIN156;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Orense;NO;NO;SI;Medio-Bajo;NO DATA;No;NO;2429;0;2;25;0;1;0.9651453183455987
CLIN157;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Toledo;NO;NO;SI;;NO DATA;Averia leve;NO;2429;0;1;23;0;1;0.9707381423815846
CLIN158;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Barcelona;NO;NO;SI;;NO DATA;No;NO;2429;0;1;32;0;1;0.9707381423815846
CLIN159;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Barcelona;SI;NO;NO;Alto;NO DATA;No;NO;2257;0;1;27;0;1;0.9707381423815846
CLIN161;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Madrid;SI;NO;SI;Medio;NO DATA;No;NO;2429;0;1;28;0;1;0.9707381423815846
CLIN163;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Toledo;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;1541;0;1;32;0;1;0.9707381423815846
CLIN164;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Badajoz;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;3599;0;1;32;0;1;0.9707381423815846
CLIN165;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;NO;3621;0;2;31;0;1;0.9651453183455987
CLIN167;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Zaragoza;SI;NO;NO;Medio;NO DATA;No;NO;2257;0;1;30;0;1;0.9707381423815846
CLIN168;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Medio;NO DATA;No;NO;2990;0;0;22;0;1;0.9490788450793628
CLIN169;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Barcelona;NO;NO;SI;;NO DATA;No;NO;2429;0;1;31;0;1;0.9707381423815846
CLIN170;A;TIPO1;FUEL 1;Baja;M;Contado;OTROS;F;Empresa;Madrid;NO;NO;NO;;NO DATA;No;NO;1781;0;1;25;0;1;0.9707381423815846
CLIN171;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;EN PAREJA;M;Empresa;Barcelona;SI;NO;NO;Alto;NO DATA;No;NO;2257;0;1;32;0;1;0.9707381423815846
CLIN173;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;No;NO;1781;0;2;32;0;1;0.9651453183455987
CLIN174;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;NO;2257;0;2;18;0;1;0.9651453183455987
CLIN175;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Alava;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1541;0;1;26;0;1;0.9707381423815846
CLIN176;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;SI;Alto;NO DATA;No;NO;3239;0;2;21;0;1;0.9651453183455987
CLIN177;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Badajoz;NO;NO;NO;Medio;NO DATA;No;NO;1541;0;2;27;0;1;0.9651453183455987
CLIN178;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Granada;NO;NO;NO;Alto;NO DATA;No;NO;1541;0;2;21;0;1;0.9651453183455987
CLIN179;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Teruel;SI;NO;NO;Alto;NO DATA;No;NO;3239;0;1;19;0;1;0.9707381423815846
CLIN180;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Madrid;SI;NO;SI;Medio;NO DATA;No;NO;3239;0;2;30;0;1;0.9651453183455987
CLIN181;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Funcionario;Barcelona;SI;NO;SI;Medio-Bajo;NO DATA;No;NO;1541;0;1;22;0;1;0.9707381423815846
CLIN182;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Autonomo;Alicante;NO;NO;NO;Medio;NO DATA;No;NO;1781;0;2;18;0;1;0.9651453183455987
CLIN183;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Las Palmas;NO;NO;NO;;NO DATA;No;NO;2275;0;1;31;0;1;0.9707381423815846
CLIN184;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;No;NO;1875;0;2;21;0;1;0.9651453183455987
CLIN185;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;1541;0;1;25;0;1;0.9707381423815846
CLIN186;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;No;NO;2905;0;2;27;0;1;0.9651453183455987
CLIN187;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Cantabria;NO;NO;NO;Alto;NO DATA;No;NO;2905;0;1;28;0;1;0.9707381423815846
CLIN188;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;NO;NO;SI;Alto;NO DATA;No;SI;2429;0;2;19;0;1;0.9651453183455987
CLIN190;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;No;NO;1781;0;1;23;0;1;0.9707381423815846
CLIN191;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Funcionario;Segovia;NO;NO;NO;Alto;NO DATA;No;NO;1781;0;0;25;0;1;0.9490788450793628
CLIN192;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Palencia;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;1541;0;1;20;0;1;0.9707381423815846
CLIN193;A;TIPO1;FUEL 1;Baja;M;Otros;OTROS;F;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;1541;0;1;22;0;1;0.9707381423815846
